OID|DESCRIPTION|BOOK_VALUE|RPT_ID
52151|INVENTORY OF MERCHANDISE FOR RESALE|641419|535294
52152|DUE FROM BROKER FOR SECURITIES PENDIG SETTLEMENT|1499427|535294
52153|DUE FROM IBEW - PBF|383433|535294
52154|ACCRUED INTEREST RECEIVABLE|1176|535295
52155|Security Deposit|2000|535296
52159|IBEW Joint Membership Fund|59767|535298
52156|PREPAID REAL ESTATE TAX|69648|535297
52157|PREPAID INSURANCE|5662|535297
52158|PREPAID MAINTENANCE CONTRACT|8276|535297
52160|Utility Deposit|85|535300
52161|Deposit with Ohio Bureau of Workers Comp|361|535301
52162|Prepaids|4064|535305
52163|618 High Avenue Corporation Net Assets|185892|535306
52164|Deposits|84|535306
52165|Inventory|3000|535310
52166|Prepaid Expenses|4240|535310
52167|UTILITY DEPOSITS|1645|535311
52168|Prepaid Insurance|355|535318
52169|Inventory|3216|535318
52170|Net Assets of Tri-City Electrical Building Associa|249846|535318
52171|Due from JATC-Training Building reimbursements|15124|535319
52172|INVENTORY|2451|535321
52173|GE Capital (Office Copier Prepaid Maint Agreement)|4160|535334
52174|RENT DEPOSIT|1078|535337
52175|DEPOSITS|27925|535340
52176|Deposits|4550|535355
52177|Lakeview Cemetery Lot|10|535355
52180|INTERNATIONAL RECEIVABLE|70|535375
52181|ACCRUED INTEREST RECEIVABLE|77542|535376
52182|PREPAID INSURANCE|4988|535376
52183|UTILITY DEPOSITS|85|535377
52184|ADVANCE ON BEHALF OF JAC|35691|535378
52185|PREPAID INSURANCE|4922|535378
52186|INVENTORY|2975|535378
52187|LOAN RECEIVABLE-OTHER|12500|535378
52188|SECURITY DEPOSITS|393748|535379
52189|SECURITY DEPOSITS|1000|535384
52190|PROMOTIONAL GOODS ON HAND|4001|535385
52191|Cemetary Lot|40|535387
52192|Prepaid Dues to International|10439|535390
52193|Commuter checks|222|535391
52194|Security deposits|2612|535391
52195|Security Deposit|1375|535392
52196|PREPAID RENT|1000|535395
52197|REFUNDABLE SECURITY DEPOSIT|1280|535395
52198|PROMOTIONAL MERCHANDISE ON HAND|20849|535399
52199|GRANTS RECEIVABLE|8010|535401
52200|Prepaid expenses|24680|535403
52201|Interest receivable|257861|535403
52202|Escrow Deposit|196533|535403
52203|Meter Deposit|25040|535405
52204|OVERPAYMENT OF PAYROLL TAXES|910|535410
52205|OVERPAYMENT OF STATE OF NH BUSINESS TAXES|195|535410
52547|WORKERS COMPENSATION|1000|536656
52207|Tenant Deposit - Reiger  IO, LLC|2100|535414
52208|Payroll Taxes Payable (overpaid)|2243|535414
52209|SECURITY DEPOSIT|1196|535419
52210|ADVANCES TO SE AREA JOINT APPRENTICESHIP COMMITTEE|20135|535420
52211|ADVANCES TO M.O.S.T. TRAINING ACTIVITIES|9986|535420
52212|ADVANCES TO SUPPLEMENTAL WELDING TRAINING PROGRAM|698|535420
52213|INVENTORY -- SHIRTS|167|535420
52214|Deposits|62|535422
52215|NONE|0|535424
52216|MORTGAGE LOAN FEES|419989|535425
52217|CREDIT CARD DEPOSIT|200000|535425
52218|DEPOSITS - MEETINGS|1000|535425
52219|DEPOSITS - RENT|15571|535425
52220|TRAVEL ADVANCE|3187|535425
52221|ALLOWANCE FOR DOUBTFUL ACCOUNTS RECEIVABLE|-475716|535425
52222|ALLOWANCE FOR DOUBTFUL LOANS RECEIVABLE|-585637|535425
52223|NONE|0|535430
52224|DUE FROM RELATED LOCALS AND OTHERS|25732|535431
52225|PREPAID PAYROLL TAX DEPOSIT|9234|535431
52226|DEPOSITS|926|535432
52227|PREPAID INSURANCE|5573|535432
52228|Clothing Inventory|31268|535436
52229|Prepaid Expenses|15000|535438
52230|DEPOSIT|42|535441
52231|PARTNERSHIP OF VARIOUS LABOR ORG LAND AQUISITION|74968|535442
52232|PROMOTIONAL MERCHANDISE ON HAND|22604|535443
52233|Union Clothing/merchandise|11218|535446
52234|Prepaid payroll taxes|446|535446
52235|Accrued int|2181|535446
52236|RENT SECURITY DEPOSIT|8062|535450
52237|PREPAID PAYROLL TAXES|9525|535450
52238|PREPAID EXPENSES|81978|535451
52239|MERCHANDISE INVENTORY|56311|535451
52240|CONVENTION DEPOSIT|20000|535451
52241|AMEX POINTS|7718|535451
52242|DUE FROM AFFILIATES|17383|535452
52243|ACCRUED INTEREST|5908|535452
52244|RETURNED CHECKS|131|535454
52245|Lease Deposit|1450|535461
52246|NONE|0|535476
52247|Accrued Interest|3331|535478
52248|Prepaid Insurance|1256|535478
52249|Interest Receivable|2263|535479
52250|Prepaid Insurance|3951|535479
52251|Prepaid Bond Premium|1033|535479
52252|None|0|535483
52253|Non-Sufficient Checks|279|535484
52254|INVENTORY|8500|535485
52255|Prepaid Expenses|7900|535486
52256|Escrow|1870|535487
52257|BWC DEPOSIT|93|535488
52258|NONE|0|535489
52259|None|0|535491
52260|Security deposit|2689|535496
52261|Utility deposit|102|535498
52262|DUE FROM AFFILIATES|10498|535499
52263|EXPENSE ADVANCES TO OFFICERS|1755|535499
52264|SECURITY DEPOSITS|400|535499
52265|UTILITY DEPOSITS|1340|535500
52266|PREPAID TICKETS |340086|535501
52267|LEASING COMMISSIONS |276110|535501
52268|DEFERRED FINANCING FEES |205168|535501
52269|PREPAID REAL ESTATE TAXES |200307|535501
52270|PREPAID INSURANCE |79387|535501
52271|DEPOSITS |77610|535501
52272|ORGANIZATION COSTS |37764|535501
52273|Interest Receivable|40745|535502
52274|Due From Affiliates|353823|535502
52275|Utility Deposits|9800|535502
52276|Due from Logil Management|15888|535502
52277|Due From Apprentice Fund|23607|535502
52278|Rent Receivable|4444|535502
52279|Prepaid Real Estate Taxes|97725|535502
52280|PROMOTIONAL MERCHANDISE ON HAND|14528|535503
52281|INVENTORY|252006|535504
52282|DEPOSIT FOR 2016 UA GENERAL CONVENTION|35000|535504
52283|NA|0|535505
52284|Prepaid Insurance|4073|535506
52285|Prepaid Expenses|31213|535507
52286|LOAN INSURANCE COSTS|2514|535508
52287|OTHER RECEIVABLES|2172|535509
52288|RENT DEPOSIT|6980|535511
52289|NONE|0|535512
52290|DUE FROM RELATED ORGANIZATIONS|15948|535513
52291|CEMETERY LOT|100|535514
52292|ACCRUED INTEREST RECEIVABLE|1420|535514
52293|PREPAYMENTS|5462|535514
52294|NONE|0|535521
52295|Deposit|200|535524
52296|NA/|0|535526
52297|PREPAID EXPENSES|5097|535527
52298|SECURITY DEPOSIT|13506|535527
52299|MISCELLANEOUS RECEIVABLES|197|535527
52300|NONE|0|535530
52301|APPAREL INVENTORY (ESTIMATED & NOT AUDITED)|109474|535531
52302|Deposit - Rental|500|535532
52303|DUE FROM AFFILIATED FUNDS|4875|535533
52304|ACCRUED INTEREST|2587|535534
52305|REFUNDABLE DEPOSIT|23|535537
52306|PAYROLL RELATED ASSETS|3936|535537
52307|PREPAID EXPENSES|397|535537
52308|Interest Receivable|22104|535538
52309|Closing costs, net of amortization|3471|535541
52310|Returned checks due to non-sufficient funds|331|535546
52311|PREPAID EXPENSE-INSURANCE|2191|535549
52312|PRE PAID PER CAPITA TAX|41165|535552
52313|LEASE DEPOSIT|20434|535553
52314|PREPAID EXPENSES|46677|535553
52315|GIFT CARDS |1750|535554
52316|Security Deposit|10|535558
52317|DEPOSITOS Y FIANZAS|2355|535565
52318|INVERSION EN ACCIONES|3779|535565
52319|CARGOS DIFERIDO|950|535565
52320|FONDOS ESCROW|2493|535565
52321|INTEREST RECEIVABLE|494|535570
52322|PREPAID EXPENSES|29256|535570
52323|PAYROLL TAX REFUND RECEIVABLE|1313|535571
52324|Inventory on hand|8933|535574
52325|PROMOTIONAL MERCHANDISE ON HAND|5378|535576
52327|Prepaid Assets|57172|535578
52328|Deferred Compensation Trust|32957|535578
52329|Escrow-District|933|535578
52330|Deposits|375|535578
52331|Construction in Progress - Renovations to Mtg Room|8758|535583
52333|NONE|0|535597
52334|EMPLOYEE DEFERRED COMPENSATION ACCOUNT|187835|535599
52335|PROMOTIONAL MERCHANDISE ON HAND|4605|535599
52336|Prepaid Expenses|3871|535602
52337|PREPAID INSURANCE|45603|535604
52338|PREPAID REAL ESTATE TAXES|6102|535604
52339|PREPAID EXPENSES|20114|535604
52340|RENT RECEIVABLE|17650|535604
52341|DUE FROM LOCAL 825 WELFARE FUND|10238|535604
52342|DUE FROM 65 SPRINGFIELD AVE CONDO ASSN|19543|535604
52343|PROMOTIONAL MERCHANDISE ON HAND|8787|535605
52344|Security Deposit|848|535609
52345|Prepaid Expenses|149032|535609
52346|Unrealized Gain on Investments for LM-2 Reporting |1443876|535609
52347|Accrued Income|12197|535612
52348|Due From Related Entitites|255249|535612
52349|Prepaid Expenses|59902|535612
52350|Security Deposits|86746|535612
52351|Other Receivables|9171|535612
52352|Rebates Receivable|247915|535612
52353|Utility Deposit|25|535616
52354|LEASE DEPOSIT|2000|535618
52355|Security Deposit|6257|535619
52356|SECURITY DEPOSIT|1800|535627
52357|Loan Costs (Net)|15718|535631
52358|Investment in wholly owned subsidiary|1233093|535631
52359|Inventory|6297|535633
52360|Gift Cards|5649|535633
52361|VACATION PAYABLE|592|535634
52362|NSF CHECKS RECEIVABLE|196|535634
52363|DUE FROM PARTNERSHIP|3818|535634
52364|PREPAID EXPENSES|18544|535635
52366|Accrued Interest Receivable|2640|535637
52367|Fed/FICA overpayment|1|535637
52368|Federal Unemployment Tax overpayment|27|535637
52369|Inventory|112693|535638
52370|Prepaid Expenses|121709|535638
52371|Payroll Clearing|1765|535639
52372|Rental Maintenance Escrow|300|535641
52373|INVENTORY FOR RESALE|12724|535642
52374|WEBSITE|996|535643
52375|PREPAID EXPENSES|6967|535645
52376|DUE FROM OTHER FUNDS|11897|535645
52377|INVENTORY |2581|535646
52378|DEPOSITS|209|535646
52379|PREPAID EXPENSES|6959|535653
52380|DEPOSITS|4771|535653
52381|MERCHANDISE INVENTORY AT 6/30/13.|119|535654
52382|Deferred revenue|751|535655
52383|Other Receivables|341509|535656
52384|Prepaid Expenses|46966|535656
52385|Funds Held on Behalf of Others|216980|535656
52386|PREPAID EXPENSES|30508|535660
52387|PAYMENTS IN ADVANCE OF PAYROLL WITHHOLDINGS|122|535660
52388|Prepaid Withholding|798|535663
52389|Prepaid Vacation Fund|55|535663
52390|INVENTORY OF APPAREL (ESTIMATED & NOT AUDITED)|15963|535667
52391|Deposits|16747|535671
52392|Prepaid expenses|941|535673
52394|Office supplies|85570|535676
52395|Promotional supplies|190472|535676
52396|Prepaid federal withholding taxes|1805|535676
52397|Prepaid state withholding taxes|301|535676
52398|Prepaid other withholdings|1769|535676
52399|NONE|0|535679
52400|DEPOSITS|839|535682
52401|DUE FROM AFFILIATES|1725|535686
52402|n/a|0|535687
52403|Accrued Interest|9681|535690
52404|Security Deposit|1825|535690
52405|Prepaid working assessments|331|535694
52406|WORKER'S COMPENSATION DEPOSIT|58|535695
52407|Inventory of Supplies|25153|535696
52408|Due From the Pipe Fitters Association, LU 597|171525|535696
52409|Due From Broker for Investments Sold|190|535696
52410|Interfund Transactions|12086|535697
52411|Prepaid Insurance|1292|535697
52412|POSTAGE 300 STAMPS @ $.46|138|535700
52413|Due from affiliates|16374|535701
52414|Prepaid expenses and inventory|170898|535701
52415|Prepaids Expenses|131903|535702
52416|Security Deposits|184741|535702
52417|Unamortized loan fees|7850|535702
52418|PASNAP funding|178843|535702
52419|Inventory|27341|535702
52420|PREPAID EXPENSES|1875|535703
52421|DUE FROM JOINT BENEFIT FUND|1764|535707
52422|Allowance for Uncollectible Loans|-2159364|535709
52423|Deposits|187073|535709
52424|Prepaid Expense|282763|535709
52425|Due from AFT Educational Foundation|54127|535709
52426|LOCAL 150 BUILDING CORP|2255608|535713
52427|INVENTORY|7424|535713
52428|SECURITY DEPOSIT|75974|535716
52429|DEFERRED COMPENSATION ASSETS|6411650|535716
52430|Prepaid working assessments|1296|535719
52431|Advanced employee withholdings|1564|535719
52432|INVENTORY|13799|535724
52433|REFUND OVER WITHHELD|143|535725
52434|Security Deposit|900|535731
52435|Prepaid Insurance|25|535731
52436|Prepaid Assessments|96|535731
52437|none|0|535733
52438|PREPAID PAYROLL WITHHOLDINGS|26|535734
52439|DEPOSITS|23590|535735
52441|Deposits|28281|535741
52442|Prepaid Computer Maintenance|5658|535741
52443|Prepaid Insurance|22779|535741
52444|Prepaid Phone Maintenance|1635|535741
52445|Federal FICA Tax Receivable (Overpayment)|2258|535741
52446|ADVANCES AND PREPAID EXPENSES|45825|535745
52447|LAND CONTRACT RECEIVABLE|10387|535745
52448|Prepaid payroll taxes|7743|535749
52449|Security Deposits|7363|535757
52450|Bonding Fees Due from Locals & Regions|9989|535757
52451|Prepaid Postage|21184|535757
52452|Prepaid Expense on Behalf of Locals|64866|535757
52453|Prepaid Bonding Insurance|17447|535757
52454|Prepaid Convention Expenses|2761|535757
52455|Prepaid Labor Organization bond|91094|535772
52456|Prepaid Business Reply Postage|1000|535772
52457|Prepaid Superintendent of Documents|1500|535772
52458|SECURITY DEPOSITS|3425|535790
52459|UNION LOGO APPAREL|3460|535790
52460|Other Receivable|13213|535826
52461|Prepaid Asset|1663|535826
52462|ACCRUED INTEREST RECEIVABLE|40|535842
52463|PREPAID INSURANCE|5776|535842
52464|INTERNATIONAL SHARES|9600|535842
52465|Prepaid Expenses|3060|535845
52466|DEPOSIT|2269|535849
52467|Due from VSC Faculty Federation|845|535852
52468|Pre Paids|3877|535852
52469|Security Deposit|3870|535852
52470|ACCRUED INTEREST RECEIVABLE|188|535857
52471|PREPAYMENTS|6243|535857
52472|Liquor License|15863|535858
52473|Inventory - Bar|5368|535858
52474|Inventory - Supplies|14150|535858
52475|SECURITY DEPOSITS|6744|535860
52476|OTHER RECEIVABLES|921|535860
52477|ESCROW|5964|535863
52478|DUE FROM EMPLOYEE|8|535863
52479|DUE FROM GEM GROUP|28983|535863
52480|30 Year Watch Inventory|11074|535866
52481|REFUNDABLE DEPOSIT|175|535868
52482|UTILITY DEPOST|600|535915
52483|Inventories|84509|535919
52484|DEPOSIT|102268|535935
52485|PREPAID EXPENSES AND OTHER CURRENT ASSETS|21473|535936
52486|INVESTMENT INCOME RECEIVABLE|14514|535936
52487|DUE FROM RELATED PARTIES|11432|535936
52488|PREPAID INSURANCE|4077|535938
52489|DUE FROM AFFILIATED FUND|17467|535938
52490|Inventory - T-Shirts, Caps, Tools, Stickers, |11592|535940
52491|Prepaid Insurance|1225|535940
52492|SEIU PENSION PLAN CREDIT BUYBACK REBATE RECEIVABLE|282215|535947
52493|STAFF RETIREE HEALTH INSURANCE FUND|515851|535947
52494|MISC. ACCRUED DUES RECEIVABLE AT CLOSE OF FY|162432|535947
52495|Deposits|10|535957
52497|Cash Value Deferred Compensation|972357|535964
52498|Prepaid Insurance|86826|535964
52499|Prepaid Postage|16197|535964
52500|Prepaid Convention|129753|535964
52501|Prepaid Other|775|535964
52505|RECEIVABLE FROM APPRENTICESHIP TRAINING TRUST|1359|535974
52506|Security Deposit - Lease|1271|535976
52507|Prepaid Insurance|5164|535979
52508|Deposits|2427|535979
52509|Prepaid Insurance|4610|535983
52510|Cemetary Lots|70|535983
52511|Rental Deposit|125|535988
52512|Prepaid Expenses|2792|535990
52513|INVENTORY OF T-SHIRTS (ESTIMATED)|6363|535993
52514|(THE INFORMATION ON THIS PAGE IS FOR DISCLOSURE|0|535993
52515|PURPOSES ONLY.  IT WAS NOT SUBJECTED TO AUDIT.)|0|535993
52516|Due receivable|31063|535995
52517|Interest receivable|1484|535995
52518|Supplies|250|535995
52519|Deposits|627|535995
52520|Inventory|51509|535996
52521|INVENTORY OF APPAREL (ESTIMATED AND NOT AUDITED)|33905|535998
52522|Returned checks - Collected 2/13 & 4/13|199|535999
52523|DEPOSITS|570|536005
52524|PREPAID RENT|196|536005
52525|Security Deposits|15949|536008
52526|Prepaid Expenses|53940|536008
52527|Undeposited Funds|2713|536008
52528|Prepaid Expenses|1518|536328
52530|Inventory for resale|5899|536521
52532|utility deposit|7627|536549
52533|due MARC from locals|208|536549
52534|ABC education|-238|536549
52535|Prepaid expenses|2791|536606
52536|Prepaid per capita taxes (on member prepaid dues)|29210|536610
52537|Prepaid insurance|2020|536610
52538|Other prepaid expenses|3080|536610
52539|Security deposit|1485|536618
52540|Due from 1964 ILA Retirement Fund|2946|536618
52541|Due from 1964 ILA Health & insurance Fund|29558|536618
52543|Prepaid supply inventory|6948|536629
52544|Prepaid expenses|3064|536629
52545|PREPAID EXPENSES|1300|536634
52546|None|0|536651
52892|Insufficient Funds Deposit Returns|493|538593
52548|SECURITY DEPOSIT|475|536656
52549|TRAVEL ADVANCES RETURNED AFTER END OF YEAR|7800|536656
52550|NONE|0|536662
52551|Security Deposit|10380|536666
52552|Rental Deposit|1100|536666
52553|Due From Related Party: P.I.I.F.|275433|536666
52554|SECURITY DEPOSIT|1531|536686
52555|Due from affiliated organization|4877|536731
52556|Security Deposit|3416|536733
52557|INVENTORY - TSHIRTS|2966|536749
52558|PREPAID EXPENSE|695|536749
52559|INTANGIBLES|130|536749
52560|ACCUMULATED AMORTIZATION|-130|536749
52561|Due to Affiliates|5400|536750
52562|Security Deposit|1810|536750
52563|Exchanges|5557|536750
52564|Deposts and Advances|415|536751
52565|0|0|536753
52566|Loan Fees|5093|536778
52567|Movie Pass Inventory|6896|536778
52568|Exchange|3317|536778
52569|Auto Warranties|4167|536778
52570|Miscellaneous debits in liabilities|745|536778
52571|CONSTRUCTION IN PROGRESS - SHOP|122487|536804
52572|None|0|536822
52573|Business manager's drawing account|200|536823
52574|RETURNED CHECKS RECEIVABLE|445|536824
52593|Security Deposit|2784|536854
52594|ACCRUED INTEREST|6614|536913
52595|Refrigerator|70|536917
52596|Shredder|30|536917
52597|Laptop Computer|500|536917
52598|Prepaid Expenses|8933|536951
52599|Prepaid Expenses|44491|536977
52600|Security Deposits|36361|536977
52601|Prepaid expenses|4650|536992
52602|Loan costs, net|9508|536992
52603|AFT-OR building trust|3902|536992
52604|RENT SECURITY DEPOSIT|1803|536998
52605|INVESTMENT IN 14 PLOG ROAD INC. (HOLDING CORP.)|2364003|537000
52606|LEASE DEPOSITS|11272|537031
52607|TRAVEL ADVANCES|2200|537031
52608|PREPAID EXPENSES|134798|537031
52610|Prepaid Insurance|40388|537049
52611|Prepaid Operating Expenses|171336|537049
52612|Travel Advances|6197|537049
52613|Deposits|1380|537049
52615|Workers Comp Deposit|41|537058
52616|Investment in LU #1253 IBEW Building Properties|27762|537161
52617|Returned Checks|979|537197
52618|Prepaid Expenses|11278|537197
52622|Grants receivable|6581|537253
52623|Prepid insurance|1050|537253
52624|INVENTORY|852|537306
52625|Prepaid Expenses|156196|537366
52626|Deposits|770|537366
52627|OCEA Convention deposit|525|537387
52628|Westin DC City Center Convention Deposit|2000|537387
52629|Calendars|5841|537387
52630|Convention promotional items|877|537387
52632|Rent security deposit|3932|537427
52633|Prepaid Insurance|4585|537456
52634|Security Deposit - Office rent|4059|537456
52635|OVERPAID PAYROLL TAXES|1548|537459
52636|PREPAID EXPENSES|14171|537462
52637|DUE FROM APPRENTICE|652|537462
52638|PREPAID EXPENSES - ADVANCE DUES PAID TO NUHHCE|200000|537465
52639|PREPAID EXPENSES - PREPAID CONVENTION EXPENSE |6856|537465
52640|PREPAID EXPENSES - LOBBYISTS|6400|537465
52641|PREPAID EXPENSES - PREPAID PROPERTY TAX |4433|537465
52642|PREPAID EXPENSES - PREPAID STORAGE EXPENSE|88|537465
52643|PREPAID EXPENSES - UNION LODGING AND TRAVEL |692|537465
52644|RENTAL DEPOSITS|60156|537465
52646|Deferred Compensation|1471062|537471
52647|Prepaid Expenses|491033|537471
52648|Security Deposits|5073|537471
52649|DEPOSITS - WORKERS COMP FUND|15000|537512
52650|LEASE SECURITY DEPOSITS|8710|537512
52651|RENT SECURITY DEPOSITS|106732|537512
52652|CREDIT CARD REIMBURSEMENTS|30121|537512
52653|RESERVE FOR MARKET VALUE|433024|537531
52654|PREPAID EXPENSES|2367745|537531
52655|EMPLOYEE TRAVEL ADVANCES|298450|537531
52656|SECURITY DEPOSITS|109582|537531
52657|ALLOWANCE FOR DOUBTFUL ACCOUNTS|-6059535|537531
52658|DEFERRED COMPENSATION - 457b|1433134|537531
52659|ACCRUED INCOME|47021|537531
52660|457b DEFERRED COMPENSATION PLAN|277089|537533
52661|FAS 106 VEBA|23958678|537533
52662|Security Deposit on New Office|2000|537536
52663|Workers Compensation Deposit|20|537536
52664|WORKERS COMPENSATION DEPOSIT|639|537542
52665|OFFICE LEASE - SECURITY DEPOSITS|10800|537542
52666|Deposits|22899|537562
52667|Promotional inventory|11643|537562
55228|POW HATS (3)|60|549397
52672|PREPAID INSURANCE|15716|537589
52673|ACCRUED INTEREST RECEIVABLE|5728|537589
52674|Inventory|1000|537598
52675|Reimburseable Expenses|11435|537598
52676|Due from Affiliates|14820|537598
52677|Travel Advances/Deposits|119928|537599
52678|Postage Inventory|9009|537599
52679|Prepaid Expenses|1536247|537599
52680|Deferred Comp - Officers|215531|537599
52681|Deferred Leasing Commissions|322218|537599
52682|Items for resale|16545|537601
52683|Prepaid expense items|15685|537601
52684|Expense advance account|200|537601
52685|FMV adjustment  - CD's|7571|537601
52686|Art- commissioned wallhanging|5093|537604
52687|Prepaid real and personal property taxes|3901|537604
52688|Other prepaid expenses|16812|537604
52689|Due from Nacst|8957|537608
52690|Due from Holy Cross High School|463|537608
52691|Tickets|192|537608
52692|CASH IN BANK - FOR LOCALS|39553|537612
52693|CASH IN BANK - MONEY MARKET FOR LOCALS|43146|537612
52694|Prepaid expenses|90899|537622
52695|Rent receivable|122456|537622
52696|Deferred compensation|428325|537656
52697|Other prepaid|476395|537656
52698|Deposits|47329|537656
52699|Inventory|149757|537656
52700|Interest/Other|14507|537656
52701|Affiliate receivables|359018|537656
52702|Utility Security Deposit|1731|537663
52703|Money Market Accounts|190127|537681
52704|Prepaid expenses|28371|537684
52706|Security Deposits|10160|537690
52707|Prepaid Expenses|1900|537701
52711|Worker's Compensation Deposit|110|537722
52712|DEPOSIT|500|537723
52713|FLORIDA BUILDING TRADES OFFICE|6667|537723
52714|Workers Compensation Deposit|93|537757
52715|ANNUITY |128450|537790
52716|Shirts, Caps and Bibiles|2495|537807
52718|INVENTORY OF HATS, T-SHIRTS, WATCHES, ETC.|4007|537836
52719|INVENTORY|3495|537851
52720|T-SHIRTS AND PROMOTIONAL ITEMS|3424|537873
52721|INVENTORY OF HATS, T-SHITRS, ETC.|254|537874
52722|PREPAID EXPENSES|963|537883
52723|Inventory|164|537884
52724|Prepaid Expenses|2309|537884
52725|Prepaid Real Estate Taxes|2572|537908
52726|RENTAL SECURITY DEPOSIT|5600|537922
52727|EXCHANGE RECEIVABLE|620|537922
52728|LEASE SECURITY DEPOSIT|1371|537923
52729|ACCRUED INTEREST|3761|537985
52730|PREPAID INSURANCE|2969|537985
52731|OTHER PREPAID EXPENSES|200|537985
52732|.|0|537986
52735|Security Deposit|800|538006
52736|None|0|538028
52737|INVENTORY OF TRAINING BOOKS|175|538039
52738|PREPAID INSURANCE|30791|538039
52739|PREPAID PHONE AUTO MESSAGING|4070|538039
52740|Membership Dues Receivable|1879749|538041
52741|Accrued Interest Receivable|4367|538041
52742|Prepaid Expenses|108978|538041
52743|Exchange Accounts|3300|538041
52744|Retiree Chapter Subsidies|1908|538041
52745|Utility Deposits|100|538042
52746|Prepaid Postage|272|538042
52747|Supplies Inventory|15882|538042
52750|PREPAID UNIONWARE|19899|538082
52751|PREPAID INSURANCE|14157|538082
52752|PRE-PAID EXPENSES|6186|538084
52753|SECURITY DEPOSIT|1696|538084
52754|OFFICE LEASE SECURITY DEPOSIT|2800|538085
52755|INVENTORY|4642|538134
52756|Prepaid Expenses|1592|538168
52757|Deposits|3259|538171
52758|Security Deposit|2077|538179
52759|Security Deposit|3420|538184
52760|Prepaid Expenses|1893|538184
52761|Accrued Investment Income|923|538184
52762|Office Equipment|10087|538185
52763|PROMOTIONAL INVENTORY|57142|538191
52764|MEMBER RELIEF RECEIVABLE|10325|538191
52765|PREPAID INSURANCE|11761|538192
52766|PREPAID EXPENSES|34542|538192
52767|SECURITY DEPOSIT|1000|538192
52768|SUPPLIES INVENTORY|17001|538194
52769|Security deposit - office rent|2254|538214
52770|Prepaid Expenses|1125|538216
52771|Rent Deposit |5741|538216
52772|Security deposits|6395|538217
52773|RENT DEPOSIT|6169|538223
52774|DUE FROM OTHER FUNDS|82990|538224
52775|INVENTORY OF TOOLS AND CLOTHING|4332|538224
52776|PREPAID EXPENSES|889|538224
52777|INTEREST RECEIVABLE|991|538224
52778|Inventory|5114|538232
52779|PREPAID INSURANCE|2841|538256
52780|DEPOSITS|332|538262
52781|Payroll tax recoverable|203|538265
52782|Value of T-Shirts on hand @ 9/30/13|1050|538269
52783|RECEIVABLE IRS - P/R TAX OVERPAYMENT|759|538273
52784|PREPAID INSURANCE|3250|538273
52785|UTILITY DEPOSIT|21|538273
52787|PREPAID INSURANCE |6161|538277
52788|SUPPLIES FOR RESALE|9090|538279
52789|INVENTORY OF HATS AND T-SHIRTS|1379|538281
52790|DUE FROM PLUMBERS 99 JATC|2555|538281
52791|Tshirt Inventory|2172|538292
52792|Prepaid Insurance|1784|538292
52793|Prepaid Property Taxes|618|538292
52794|T-SHIRTS FOR SALE|504|538294
52795|ACCRUED INTEREST RECEIVABLE|7044|538297
52796|PREPAID INSURANCE|1429|538297
52797|PREPAID EXPENSES|13018|538297
52798|UNITED STATES POSTAL BALANCE|4000|538297
52799|PREPAID SOFTWARE UPGRADES|22998|538297
52800|PREPAID LICENSE AGGREEMENTS|16818|538297
52801|Prepaid Expense|7477|538300
52802|PREPAID EXPENSE|1000|538304
52803|SECURITY DEPOSIT|2155|538304
52804|Prepaid Expenses|7479|538305
52805|Inventory|5413|538305
52806|Accrued Interest|12957|538306
52807|UNAMORTIZED CLOSING COSTS|696|538307
52810|LEASE SECURITY DEPOSIT|3735|538322
52811|RENT SECURITY DEPOSITS|4990|538324
52812|LTD DEPOSITS|2266|538324
52813|NONE|0|538334
52814|PREPAID PAYROLL TAXES|8002|538346
52815|PREPAID EXPENSES|553599|538347
52816|SECURITY DEPOSITS|31351|538347
52817|GRANT RECEIVABLE|333583|538347
52818|Maintenance agreement, Software|101000|538348
52819|Reusable Union Supplies|87939|538348
52820|Prepaid Union Travel Credit Card|159096|538348
52821|Prepaid Insurance and Bonding|156570|538348
52823|PREPAID EXPENSES|4434|538351
52824|INVENTORY OF SUPPLIES FOR RESALE|1800|538351
52825|Expense reimbursement UFW Insurance Fund|25451|538358
52826|Due from building corp|13866|538358
52827|Prepaid Insurance|20274|538377
52828|Prepaid Expense|19291|538377
52829|Security Deposit|38954|538377
52830|Other assets|548|538400
52831|SECURITY DEPOSITS|6693|538401
52832|BUILDING PROCEEDS IN ESCROW|92000|538406
52833|RENT SECURITY DEPOSIT|4684|538411
52834|Inventory|73914|538413
52835|Prepaid Expenses & others|180735|538413
52836|Insurance Annuity Investment|1148176|538413
52837|Deposits|96372|538413
52838|ACCRUED INTEREST|15880|538416
52839|PREPAID EXPENSES|7489|538416
52840|Inventory|10099|538418
52841|Accrued Interest Receivable|101|538433
52842|Conference Reimbursement Receivable|378|538433
52843|Unexpired Insurance|3257|538433
52844|Prepaid Maintenance Contract|654|538433
52845|PREPAID EXPENSES|37456|538435
52846|SECURITY DEPOSITS|6200|538435
52847|PAYROLL TAXES RECEIVABLES|202|538435
52848|PREPAID EXPENSES|44506|538442
52849|Dues receivable from international|24637|538443
52850|MARKET VALUE ADJUSTMENT ACCOUNT - INVESTMENTS |33763|538444
52851|OTHER RECEIVABLES|217|538444
52852|PREPAID EXPENSES|50172|538444
52853|ACCRUED INTEREST AND DIVIDENDS|84|538444
52854|SECURITY DEPOSIT|950|538444
