OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
176057|2101|Regular Members-pay regular dues|844|T|535756
176058|2101|Apprentice Members-pay regular dues|126|T|535756
176059|2101|Early Retired-pay reduced dues|134|T|535756
176060|2101|Retired Members-pay reduced dues|63|T|535756
176061|2101|Honorary Members-pay reduced dues|70|T|535756
176062|2101|Called Military Service Members-pay no dues|1|T|535756
176063|2101|Section 50 Disabled-pay reduced dues|18|T|535756
176064|2102||0|F|535756
176065|2101|Full Per Capita Payers|33050|T|535757
176066|2101|Half Per Capita Payers|3700|T|535757
176067|2102|Agency Fee Payers|8|F|535757
176068|2101|Active|152132|T|535772
176069|2101|Pension|39142|T|535772
176070|2101|Members at Large Active|37|F|535772
176071|2101|Members at Large Pension|1126|F|535772
176072|2102|Agency Fee Payers|292|F|535772
176073|2101|APPRENTICE AND JOURNEYMAN MEMBERS|925|T|535774
176074|2101|MILITARY SERVICE MEMBERS|3|T|535774
176075|2101|EARLY RETIRED MEMBERS|87|T|535774
176076|2101|RETIRED OR DISABLED MEMBERS|95|T|535774
176077|2101|HONORARY MEMBERS|91|T|535774
176078|2102|Agency Fee Payers|0|F|535774
176079|2101|INSIDE WIREMAN|174|T|535778
176080|2101|APPRENTICE|27|T|535778
176081|2101|RESIDENTIAL WIREMAN|9|T|535778
176082|2101|TELEDATA TECHNICIAN|4|T|535778
176083|2101|REGULAR|405|T|535790
176084|2101|APPRENTICES|27|T|535790
176085|2101|RETIRED|58|T|535790
176086|2101|EARLY RETIRED|56|T|535790
176087|2101|SECTION 50 DISABLED|13|T|535790
176088|2101|HONORARY|38|F|535790
176089|2101|CALLED MILITARY SERVICE|1|T|535790
176090|2102||0|F|535790
176091|2101|Regular Members-pay regular dues|467|T|535791
176092|2101|50 Year Honorary|26|T|535791
176093|2101|Disabled|44|T|535791
176094|2101|Apprentice|55|T|535791
176095|2101|Early Retired|28|T|535791
176096|2101|Retired|30|T|535791
176097|2102|Agency Fee Payers|0|F|535791
176098|2101|Journeymen|619|T|535811
176099|2101|Pensioners|58|T|535811
176100|2101|Active|300|T|535826
176101|2101|Retired|136|T|535826
176102|2102|Agency Fee Payers|0|F|535826
176103|2101|Regular working|616|T|535828
176104|2101|Apprentices|71|T|535828
176105|2101|Section 50 disabled|13|T|535828
176106|2101|Early retirees|66|T|535828
176107|2101|Retired|67|T|535828
176108|2101|Honorary members and other categories|82|F|535828
176109|2101|A|913|T|535838
176110|2102|Agency Fee Payers|0|F|535838
176111|2101|"BA" REGULAR MEMBER|1793|T|535839
176112|2101|"A" MEMBER PAYS INTO PENSON & DETH BENEFITS|4|T|535839
176113|2102|Agency Fee Payers|8|F|535839
176114|2101|GENERAL MEMBERSHIP|1478|T|535842
176115|2101|Local unions|20|T|535844
176116|2101|Active|1049|T|535845
176117|2101|Retired|497|F|535845
176118|2102|Agency Fee Payers|5|F|535845
176119|2101|Journeyman|203|T|535846
176120|2101|Apprentices|40|F|535846
176121|2101|Honorary|145|F|535846
176122|2101|Retirees|35|F|535846
176123|2101|FULL-TIME|4886|T|535847
176124|2101|HALF-TIME|2294|T|535847
176125|2101|QUARTER-TIME|337|T|535847
176126|2101|EIGHTH -TIME|121|T|535847
176127|2101|BOX OFFICE|126|T|535849
176128|2101|PHONE ROOM - FULL TIME|45|T|535849
176129|2101|PHONE ROOM - PART TIME|9|T|535849
176130|2101|Full Membership|2145|T|535852
176131|2101|Half Membership|737|T|535852
176132|2101|Quarter Membership|218|T|535852
176133|2101|Eight Membership|9|T|535852
176134|2102|Agency Fee Payers|475|F|535852
176135|2101|Union Members|281|T|535856
176136|2101|FIRST YEAR MEMBERS|16|F|535857
176137|2101|WORKING MEMBERS IN GOOD STANDING|239|T|535857
176138|2101|RETIRED MEMBERS|141|F|535857
176139|2102|Agency Fee Payers|0|F|535857
176140|2101|Journeymen|619|T|535858
176141|2101|Honorary|166|T|535858
176142|2101|Lifetime|162|T|535858
176143|2101|Apprentice|45|F|535858
176144|2101|Apprentice|32|T|535861
176145|2101|Journeymen|713|T|535861
176146|2101|Owner Operators|13|T|535861
176147|2101|JOURNEYMAN|1278|T|535863
176148|2101|APPRENTICES|115|T|535863
176149|2101|TRAINEES|252|T|535863
176150|2101|SHOP MEMBERS|102|T|535863
176151|2101|RAILROAD|3|T|535863
176152|2102|Agency Fee Payers|0|F|535863
176153|2101|TEACHERS/EDUCATORS|7508|T|535865
176154|2101|STATE EMPLOYEES|937|T|535865
176155|2101|PRIVATE SECTOR EMPLOYEES|298|T|535865
176156|2101|NURSES & HEALTH PROFESSIONALS|173|T|535865
176157|2102|Agency Fee Payers|74|F|535865
176158|2101|Regular|1202|T|535866
176159|2101|Apprentice|44|T|535866
176160|2101|Section 50 Disabled|19|T|535866
176161|2101|Early Retired|43|T|535866
176162|2101|Honorary|26|T|535866
176163|2101|Retired|42|T|535866
176164|2101|Arrears|246|F|535866
176165|2101|JOURNEYMAN WIREMAN|164|T|535868
176166|2101|APPRENTICE|43|T|535868
176167|2101|JOURNEYMAN LINEMAN|2|T|535868
176168|2101|CW4|1|T|535868
176169|2101|CE3|6|T|535868
176170|2101|CW|8|T|535868
176171|2101|WELDER|3|T|535868
176172|2101|RETIRED|6|F|535868
176173|2101|MEMBERS|403|T|535880
176174|2101|Journeymen Wiremen|249|T|535905
176175|2101|Apprentice Wiremen|13|T|535905
176176|2101|Construction Wiremen|18|T|535905
176177|2101|Construction Electrician|27|T|535905
176178|2101|ACTIVE MEMBERS|330|T|535915
176179|2101|PER CAPITA PAYING MEMBERS|8391|T|535917
176180|2101|NON PER CAPITA PAYING MEMBERS|1266|F|535917
176181|2101|Active|629|T|535918
176182|2101|Pensioned|147|F|535918
176183|2102|Agency Fee Payers|0|F|535918
176184|2101|Regular Dues Paying Members|4526|T|535919
176185|2101|Regular Members|1018|T|535924
176186|2101|Honorary Members|203|T|535924
176187|2101|Retired Members|109|T|535924
176188|2101|Early Retired Members|85|T|535924
176189|2101|Section 50 Disabled Members|51|T|535924
176190|2101|Apprentice Members|123|T|535924
176191|2101|Called to Military Service|1|T|535924
176192|2101|ACTIVE|5401|T|535935
176193|2101|RETIRED|1290|T|535935
176194|2101|GOLD|378|T|535935
176195|2101|SUSPENDED|214|F|535935
176196|2101|APPRENTICES|144|T|535936
176197|2101|JOURNEYMEN|1471|T|535936
176198|2101|RETIREES|273|T|535936
176199|2101|JOURNEYMEN|193|T|535938
176200|2101|APPRENTICES|33|F|535938
176201|2101|NY RETIREES|25|T|535938
176202|2101|INTERNATIONAL RETIREES|81|T|535938
176203|2101|HONORARY MEMBERS|12|T|535938
176204|2101|Apprentice|41|F|535940
176205|2101|Journeyman|277|T|535940
176206|2101|Honorary|28|F|535940
176207|2101|Probationaries|2|F|535940
176208|2101|Lifetime Honorary|68|F|535940
176209|2101|Disabled|24|T|535946
176210|2101|Apprentices|72|T|535946
176211|2101|Early Retirees|212|T|535946
176212|2101|Honorary Members|97|T|535946
176213|2101|Called to Military Service|1|T|535946
176214|2101|Members - Regular|872|T|535946
176215|2101|Retired Member|146|T|535946
176218|2101|Affiliate|254|F|535947
176216|2101|Active|10044|T|535947
176217|2101|Retiree|11919|T|535947
176219|2102|Agency Fee Payers|538|F|535947
176220|2101|Active Members|254|T|535955
176221|2101|Retired Members|85|T|535955
176222|2101|Disabled|23|T|535957
176223|2101|Apprentices|102|T|535957
176224|2101|Early Retirees|183|T|535957
176225|2101|Retirees|145|T|535957
176226|2101|Honorary 50 Yrs|165|T|535957
176227|2101|Regular|895|T|535957
176229|2101|Regular and Part-time Flexible Members|55028|T|535964
176230|2101|Relief Members|27181|T|535964
176231|2101|Retired Members|19472|T|535964
176232|2101|Associate Members|484|F|535964
176233|2101|ACTIVE MEMBERS|522|T|535966
176234|2101|RETIRED MEMBERS|152|F|535966
176239|2101|Constuction Members|208|T|535970
176240|2101|Non Construction Members|25|T|535970
176241|2101|Dues Paying Retirees|94|T|535970
176242|2101|No Dues Retirees|13|T|535970
176243|2101|Life Members|37|T|535971
176244|2101|Local Members|325|T|535971
176245|2101|MECHANICS|190|T|535974
176246|2101|APPRENTICES|32|T|535974
176247|2101|HELPERS|18|T|535974
176248|2102|Agency Fee Payers|0|F|535974
176249|2101|Regular Members|405|T|535975
176250|2101|Service Members|130|T|535975
176251|2101|Retiree|88|T|535975
176252|2101|Retiree - 50 yr|30|T|535975
176253|2101|General Membership|504|T|535976
176254|2102|Agency Fee Payers|0|F|535976
176255|2101|Regular|144|T|535977
176256|2101|TVA|34|T|535977
176257|2101|Apprentice|35|F|535977
176258|2101|Retired, age 65 and over as of 12/31/01|26|T|535977
176259|2101|Retired on or after 1/1/2013|16|T|535977
176260|2101|Retired Other|87|T|535977
176261|2101|Lifetime|19|T|535977
176262|2102|Agency Fee Payers|0|F|535977
176263|2101|AOO-BUILDING TRADES REGULAR MEMBERSHIP|349|T|535979
176264|2101|A29-BUILDING TRADES SPPRENTICE MEMBERSHIP|4|T|535979
176265|2101|A-29PD-BUILDING TRADES APPRENTICE MEMBERS INI PD|162|T|535979
176266|2101|LIMITED MEMBERS|60|F|535979
176267|2101|RETIREES|115|T|535979
176268|2101|BTS-BUILDING TRADES DISABLED|0|T|535979
176269|2101|GOVERNMENT WORKERS|2|T|535979
176270|2101|QOO-FEDERAL SHIPYARD WORKERS|83|T|535979
176271|2101|SFU-CLASSFIED WORKERS|7|T|535979
176272|2101|WCCUES-WITHDRAWAL CARD DUDS|1|F|535979
176273|2101|MILITARY|1|F|535979
176274|2102|Agency Fee Payers|0|F|535979
176275|2101|Class A|419|T|535983
176276|2101|Class BA|12|T|535983
176277|2102|Agency Fee Payers|0|F|535983
176278|2101|Mechanics|165|T|535988
176279|2101|Apprentices|50|T|535988
176280|2101|Career|1203|T|535990
176281|2101|PSE|170|T|535990
176282|2101|Regular|703|T|535992
176283|2101|Retired|459|T|535992
176284|2101|Associate|3|F|535992
176285|2101|Part-Time Rural Letter Carriers|378|T|535992
176286|2101|JOURNEYMEN|1094|T|535993
176287|2101|APPRENTICES|363|T|535993
176288|2101|RETIREES|216|T|535993
176289|2101|ARREARS MEMBERS|303|F|535993
176290|2101|Regular Members|342|T|535995
176291|2101|Retired Members|149|T|535995
176292|2102|Agency Fee Payers|0|F|535995
176293|2101|Probationary|18|F|535996
176294|2101|Apprentice|148|F|535996
176295|2101|Journeyman|1308|T|535996
176296|2101|Honorary|231|F|535996
176297|2101|Lifetime|328|F|535996
176298|2101|Military|2|T|535996
176299|2102||0|F|535996
176300|2101|JOURNEYMEN|1690|T|535998
176301|2101|APPRENTICE|237|T|535998
176302|2101|RETIRED|220|T|535998
176303|2101|DISABLED|20|T|535998
176304|2101|HONORARY|234|T|535998
176305|2101|ARREARS|278|F|535998
176306|2101|Apprentices - Probationary|21|F|535999
176307|2101|Journryman|812|T|535999
176308|2101|Retirees|539|F|535999
176309|2101|Apprentices - Members|40|T|535999
176310|2102||142|F|535999
176311|2101|Journeyman|545|T|536000
176312|2101|Apprentice|97|T|536000
176313|2101|Retirees|66|F|536000
176316|2101|ACTIVE MEMBERS|1624|T|536003
176317|2101|RETIREES|585|T|536003
176318|2101|RETIREES (LIFETIME MEMBERS)|146|T|536003
176319|2101|REGULAR MEMBER|1315|T|536004
176320|2101|APPRENTICE LEVEL 1|36|F|536004
176321|2101|APPRENTICE LEVEL 2|37|T|536004
176322|2101|APPRENTICE LEVEL 3|18|T|536004
176323|2101|APPRENTICE LEVEL 4|22|T|536004
176324|2101|EARLY RETIRED|275|T|536004
176325|2101|RETIRED MEMBERS|259|T|536004
176326|2101|50 YEAR HONORARY MEMBER|378|T|536004
176327|2101|SECTION 50 DISABLED|87|T|536004
176328|2101|CONTRACTOR MEMBER|24|F|536004
176329|2101|LOCAL UNIONS|17|T|536005
176330|2101|Regular|13692|T|536008
176331|2102|Agency Fee Payers|9631|F|536008
176332|2101||0|T|536009
176333|2102|Agency Fee Payers|0|F|536009
176334|2101|Active members|583|T|536328
176335|2101|Pensioners|151|T|536328
176336|2102|Agency Fee Payers|37|F|536328
176340|2101|Regular|2120|T|536456
176341|2101|Apprentice|263|T|536456
176342|2101|Section 50 Disabled|129|T|536456
176343|2101|Early Retired|392|T|536456
176344|2101|Honorary|298|T|536456
176345|2101|Retired|392|T|536456
176346|2101|Called to Military|5|T|536456
176347|2101|Arrears|258|F|536456
176349|2101|Apprentice|48|T|536521
176350|2101|Journeyman|299|T|536521
176351|2101|Honorary|49|T|536521
176352|2101|Retiree|86|T|536521
176353|2101|Members of Represented Locals|3328|F|536528
176358|2101|active paying members|15893|T|536549
176359|2101|Members employed by Government agencies|6404|T|536576
176360|2101|Members indirectly employed by government agencies|130|T|536576
176361|2101|Regular Members|0|T|536602
176362|2102|Agency Fee Payers|0|F|536602
176363|2101|GENERAL MEMBERSHIP|1379|T|536606
176364|2101|REGULAR MEMBERS|3941|T|536608
176365|2102|Agency Fee Payers|3|F|536608
176366|2101|A-Electrical Workers|106|T|536609
176367|2102|Agency Fee Payers|0|F|536609
176368|2101|Active Members - Journeymen|792|T|536610
176369|2101|Active Members - Apprentices|118|F|536610
176370|2101|Retired Members - Non Life|386|T|536610
176371|2101|Retired Members - Life|182|T|536610
176372|2102|Agency Fee Payers|0|F|536610
176373|2101|ACTIVE MEMBERS|505|T|536612
176377|2101|Active|2061|T|536618
176378|2102|Agency Fee Payers|0|F|536618
176379|2101|Regular Members - pays regular dues|637|T|536625
176380|2101|Apprentice Level 1-8 - pays regular dues|50|T|536625
176381|2101|Retired Members - pays regular dues|7|T|536625
176382|2101|Section 50 Disabled - pays reduced dues|2|T|536625
176383|2101|Honorary Member - pays no dues|8|T|536625
176384|2102|Agency Fee Payers|0|F|536625
176388|2101|EARLY RETIRED|65|T|536628
176389|2101|50 YEAR HONORARY|96|T|536628
176390|2101|MILITARY SERVICE|2|T|536628
176391|2101|REGULAR MEMBERS AND APPRENTICES|965|T|536628
176392|2101|CONTRACTOR/SELF EMPLOYED|1|T|536628
176393|2101|RETIRED OR DISABLED MEMBERS|106|T|536628
176394|2101|Active members with all rights|536|T|536629
176395|2101|Members on LTD|20|F|536629
176396|2101|Members not sworn in|46|F|536629
176397|2101|APPRENTICE|356|T|536632
176398|2101|JOURNEYMEN|1568|T|536632
176399|2101|CLASSIFIED|304|T|536632
176400|2101|ARMED FORCES|2|T|536632
176401|2101|DISABLED|18|T|536632
176402|2101|RETIRED|723|T|536632
176403|2101|PRODUCTION|63|T|536632
176404|2101|OWNER|15|F|536632
176405|2101|DEPT. 10 - MICHIGAN GOVERNMENTAL EMPLOYEES|3559|T|536634
176406|2101|DEPT. 20 -  MICHIGAN NON-GOVERNMENTAL EMPLOYEES|4154|T|536634
176407|2102|Agency Fee Payers|149|F|536634
176408|2101|A CARD MEMBERS|74|T|536636
176409|2101|BA CARD MEMBERS|387|T|536636
176410|2101|All Members|965|T|536651
176411|2101|JOURNEYMAN INSIDE WIRE|1516|T|536656
176412|2101|NETWORK TECHNICIAN (BA)|6|T|536656
176413|2101|JOURNEYMAN RESIDENTIAL WIREMAN|50|T|536656
176414|2101|RESIDENTIAL APPRENTICE|17|T|536656
176415|2101|JOURNEYMAN MAINTENANCE ELECTRICIAN|10|T|536656
176416|2101|JOURNEYMAN SERVICE TECHNICIAN|2|T|536656
176417|2101|JOURNEYMAN MAINTENANCE|3|T|536656
176418|2101|MANUFACTURING (BA)|118|T|536656
176419|2101|MANUFACTURING (A)|1|T|536656
176420|2101|SIGN SHOP EMPLOYEE|7|T|536656
176421|2101|HVAC COMMERCIAL JOURNEYMAN (BA)|1|T|536656
176422|2101|HVAC COMMERCIAL JOURNEYMAN (A)|1|T|536656
176423|2101|JOURNEYMAN DOOR INSTALLER|2|T|536656
176424|2101|TV & APP REPAIR (BA)|8|T|536656
176425|2101|ALARM TECHNICIAN|12|T|536656
176426|2101|SOUND & TELEDATA|16|T|536656
176427|2101|PANEL SHOP EMPLOYEE (BA)|21|T|536656
176428|2101|TELEDATA APPRENTICE|9|T|536656
176429|2101|JOURNEYMAN INSTALLER TECHNICIAN|98|T|536656
176430|2101|INSIDE APPRENTICE|118|T|536656
176431|2101|CONSTRUCTION ELECTRICIAN|9|T|536656
176432|2101|CONSTRUCTION WIREMAN|32|T|536656
176433|2101|NO CLASSIFICATION|2|T|536656
176434|2102|Agency Fee Payers|11|F|536656
176435|2101|JOURNEYMEN|1719|T|536662
176436|2101|40-50-60 YEAR MEMBERS|343|T|536662
176437|2101|APPRENTICE|29|T|536662
176438|2101|NON-BENEFICIAL|9|T|536662
176439|2102|Agency Fee Payers|0|F|536662
176440|2101|Organization Membership|7086|T|536666
176441|2101|Affiliated Local Unions|17|T|536684
176442|2101|Active members|1060|T|536685
176443|2101|Retiress|60|T|536685
176444|2101|REGULAR MEMBERS|4865|T|536686
176445|2101|RETIRED MEMBERS|25|F|536686
176446|2101|ON-CALL EMPLOYEES AND/OR MEMBERS|98|F|536686
176447|2101|ELECTED RETIREES|3|T|536686
176448|2101|PERMIT MEMBERS|17|F|536686
176449|2101|AFFILIATE MEMBERS|2|F|536686
176450|2102|Agency Fee Payers|1|F|536686
176451|2101|Non-Supervisory employees who are eligible for|905|T|536726
176452|2102|Agency Fee Payers|1|F|536726
176453|2101|Omaha|546|T|536731
176454|2101|Production|232|T|536731
176455|2101|Sioux City|62|T|536731
176456|2101|Lincoln|34|T|536731
176457|2102|Agency Fee Payers|0|F|536731
176458|2101|General membership|415|T|536732
176459|2101|Construction|528|T|536733
176460|2101|Industrial|388|T|536733
176461|2101|Retiree|341|T|536733
176462|2102|Agency Fee Payers|0|F|536733
176466|2101|GENERAL MEMBERSHIP|406|T|536749
176467|2101|Full Time|1470|T|536750
176468|2101|Part Time|1730|T|536750
176469|2102|Agency Fee Payers|0|F|536750
176470|2101|National and International Labor Organizations|17|T|536751
176471|2101|Regular Members|452|T|536753
176472|2102|Agency Fee Payers|24|F|536753
176473|2101|Journeymen|2293|T|536755
176474|2101|Apprentices|306|T|536755
176475|2101|Life members|402|T|536755
176476|2102|Agency Fee Payers|0|F|536755
176477|2101|Apprentices|41|F|536756
176478|2101|Journeymen|387|T|536756
176479|2101|Retirees|64|T|536756
176480|2101|Life Members|41|T|536756
176481|2102||0|F|536756
176482|2101|Regular|8350|T|536757
176483|2101|Retired|70|T|536757
176484|2102|Agency Fee Payers|0|F|536757
176485|2101|Regular|1588|T|536769
176486|2101|Apprentice|9|T|536769
176487|2101|Retired|306|T|536769
176488|2101|Early Retired|166|T|536769
176489|2101|Section 50 Disabled|59|T|536769
176490|2101|Contractor Member|1|T|536769
176491|2101|Honorary Member|299|T|536769
176492|2101|Called to Military Service|1|T|536769
176502|2101|Active|4826|T|536778
176503|2101|Reduced Fee|62|F|536778
176504|2101|Religious Exemption|0|F|536778
176505|2101|Full Scope|44|T|536778
176506|2101|Limited Scope|1140|F|536778
176507|2102|Agency Fee Payers|712|F|536778
176513|2101|Active|735|T|536795
176514|2101|PRODUCTION WORKER|20|T|536804
176515|2101|FIELD CONSTRUCTION|326|T|536804
176516|2102|Agency Fee Payers|0|F|536804
176519|2101|Member (Journeyman) - Regular|569|T|536822
176520|2101|Apprentice (Levels 1-8)|55|T|536822
176521|2101|Early Retired|72|T|536822
176522|2101|Retired Members|49|T|536822
176523|2101|50 Year Honorary Members|19|T|536822
176524|2101|Section 50 Disabled|7|T|536822
176525|2102||1|F|536822
176526|2101|A members|42|T|536823
176527|2101|BA members|484|T|536823
176529|2101|RETIRED|60|T|536824
176528|2101|ACTIVE|690|T|536824
176530|2101|Full Time Union Members|1500|T|536825
176538|2101|UNION MEMBERS|195|T|536849
176551|2101|Affiliated Local Unions|4|T|536854
176554|2101|ACTIVE MEMBERS|3294|T|536913
176555|2101|RETIRED MEMBERS|412|T|536913
176556|2101|Regular Members|163|T|536917
176557|2101|Retired Members|3|T|536917
176558|2102||0|F|536917
176559|2101|Acitve|7355|T|536951
176560|2101|Retired|114|F|536951
176561|2101|Honorary|5|F|536951
176562|2101|Active|13664|T|536977
176563|2101|Pensioned (Prior to 1/1/1993)|351|T|536977
176564|2101|Pensioned (Prior to 12/31/1992)|1501|T|536977
176565|2102|Agency Fee Payers|0|F|536977
176567|2101|Half time|2930|T|536992
176566|2101|Full time|2071|T|536992
176568|2101|Quarter time|740|T|536992
176569|2101|Eighth time|2248|T|536992
176570|2101|Leave/layoff|116|T|536992
176571|2102|Agency Fee Payers|2411|F|536992
176573|2101|REGULAR|847|T|536998
176574|2101|RETIRED|2|T|536998
176575|2101|ACTIVE|2014|T|537000
176576|2101|FORTY-YEAR|419|T|537000
176577|2101|LIFE|624|T|537000
176578|2101|DISABLED|82|T|537000
176579|2101|APPRENTICE|84|T|537000
176580|2101|IMPROVER / SUPPORT|12|T|537000
176582|2101|REGULAR RURAL CARRIERS/PART TIME FLEX CARRIERS|939|T|537028
176583|2101|RURAL CARRIER ASSOC|473|T|537028
176584|2101|RETIRED CARRIERS|477|T|537028
176585|2101|ASSOCIATE MEMBERS|27|F|537028
176586|2102|Agency Fee Payers|0|F|537028
176587|2101|MEMBERS|40000|T|537031
176590|2101|Members|30471|T|537049
176591|2102|Agency Fee Payers|3255|F|537049
176592|2101|REGULAR CARRIERS|1887|T|537051
176593|2101|PART-TIME FLEXIBLE CARRIER MEMBERS|1|T|537051
176594|2101|RELIEF CARRIER MEMBERS|764|T|537051
176595|2101|RETIRED CARRIER MEMBERS|724|T|537051
176596|2101|ASSOCIATE CARRIER MEMBERS|16|F|537051
176597|2101|RETIRED ASSOCIATE MEMBERS|1|F|537051
176598|2102|Agency Fee Payers|0|F|537051
176599|2101|Full dues paying members|480|T|537058
176600|2101|ACTIVE MEMBERS|111|T|537072
176601|2101|INACTIVE MEMBERS|12|T|537072
176602|2101|RETIRED MEMBERS|44|T|537072
176604|2101|REGULAR|142|T|537145
176605|2101|RETIRED|54|T|537145
176606|2101|APPRENTICE|10|T|537145
176607|2101|PRESTRESS|75|T|537145
176608|2101|PUBLIC SECTOR|13|T|537145
176609|2101|ROANOKE CONCRETE|3|T|537145
176610|2101|INACTIVE|3|T|537145
176611|2102|Agency Fee Payers|0|F|537145
176612|2101|Journeyman|162|T|537161
176613|2101|Apprentice|43|T|537161
176614|2101|Teledata Tech|6|T|537161
176615|2101|Teledata Apprentice|7|T|537161
176616|2101|Construction Wireman|1|T|537161
176617|2101|Construction Electrician|2|T|537161
176618|2101|A Members|2200|T|537197
176619|2101|B Members|1300|T|537197
176620|2102|Agency Fee Payers|0|F|537197
176621|2101|Journeymen|349|T|537198
176622|2101|Apprentices|87|T|537198
176623|2101|Production Workers|303|T|537198
176624|2101|Retired|139|T|537198
176625|2101|Classified Workers|63|T|537198
176626|2102|Agency Fee Payers|0|F|537198
176627|2101|Journeyman|150|T|537200
176628|2101|Apprentice|20|T|537200
176629|2101|REGULAR MEMBERS|1446|T|537207
176630|2102|Agency Fee Payers|0|F|537207
176634|2101|Regular dues paying members|360|T|537253
176635|2101|FULL DUES PAYING MEMBERS - NO RESTRICTIONS|2470|F|537261
176636|2102|Agency Fee Payers|59|F|537261
176637|2101|JOURNEYMAN WIREMAN & LINEMAN, TESTER|615|T|537288
176638|2101|APPRENTICE, CONSTRUCTION ELECTRICIAN & WIREMAN|80|T|537288
176639|2101|SIGN WIREMAN|12|T|537288
176640|2101|BA MEMBERS|13|T|537288
176641|2101|ACTIVE|333|T|537306
176642|2101|RETIRED|108|T|537306
176643|2101|GOLD CARD MEMBERS|29|T|537306
176644|2102|Agency Fee Payers|0|F|537306
176645|2101|ACTIVE|0|T|537314
176646|2102|Agency Fee Payers|0|F|537314
176647|2101|MEMBERS|1607|T|537344
176648|2101|Union Members|671|T|537350
176649|2101|Active Membership|122809|T|537366
176650|2101|Retired Active Membership|3459|T|537366
176651|2101|Student Active Membership|1292|T|537366
176652|2101|Apprentices|13|T|537414
176653|2101|Journeyman|145|T|537414
176654|2102|Agency Fee Payers|0|F|537414
176655|2101|REGULAR MEMBERS|3495|T|537418
176656|2101|REGULAR MEMBERS|8116|T|537419
176664|2101|Full time teacher|2222|T|537427
176665|2101|Part time teacher|360|T|537427
176666|2102|Agency Fee Payers|127|F|537427
176667|2101|REGULAR MEMBERS|1796|T|537429
176668|2102|Agency Fee Payers|11|F|537429
176669|2101|REGULAR MEMBERS|1898|T|537430
176670|2102|Agency Fee Payers|6|F|537430
176671|2101|REGULAR APPRENTICE AND JOURNEYMAN MEMBERS|919|T|537432
176672|2101|CONTRACTOR MEMBERS|7|T|537432
176673|2101|EARLY RETIRED MEMBERS|83|T|537432
176674|2101|RETIRED OR DISABLED MEMBERS|177|T|537432
176675|2101|HONORARY MEMBERS|151|T|537432
176676|2101|MILITARY SERVICE|2|T|537432
176677|2102||0|F|537432
176678|2101|FULL MEMBERS|235|T|537448
176679|2101|HALF MEMBERS|198|T|537448
176680|2101|QUARTER MEMBERS|158|T|537448
176681|2102|Agency Fee Payers|3|F|537448
176682|2101|Full Members|1264|T|537456
176683|2102|Agency Fee Payers|0|F|537456
176684|2101|FULL DUES PAYING MEMBERS|4227|F|537459
176685|2102|Agency Fee Payers|2399|F|537459
176686|2101|JOURNEYMAN AND APPRENTICE|474|T|537462
176687|2101|40 YEAR FREE AND 50 YEAR FREE|149|T|537462
176688|2102|Agency Fee Payers|0|F|537462
176689|2101|Dues Payers|1778|T|537464
176690|2102|Agency Fee Payers|438|F|537464
176691|2101|ACTIVES|18773|T|537465
176692|2102|Agency Fee Payers|83|F|537465
176693|2101|REGULAR MEMBER|241|T|537470
176694|2101|INDIVIDUAL MEMBER|6|T|537470
176695|2102|Agency Fee Payers|0|F|537470
176696|2101|Active|143591|T|537471
176697|2101|Reserve|1002|F|537471
176698|2101|Life|17|T|537471
176699|2101|Retired (including Retired Life)|26538|F|537471
176700|2101|Student|9245|F|537471
176701|2101|Substitute/Associate|582|F|537471
176702|2102|Agency Fee Payers|5603|F|537471
176703|2101|TRANSIT DIVISION|63074|T|537512
176704|2101|AIR TRANSPORT DIVISION|47662|T|537512
176705|2101|RAILROAD DIVISION|4231|T|537512
176706|2101|GAMING DIVISION|294|T|537512
176707|2101|IN-SERVICE|387476|T|537531
176708|2101|RETIREES|201721|T|537531
176709|2101|AT-LARGE|7705|F|537531
176710|2101|SPECIAL CONSTITUENCY GROUPS|55|F|537531
176711|2102|Agency Fee Payers|23622|F|537531
176712|2101|EDUCATOR ACTIVE-FULL TIME|92587|T|537533
176713|2101|EDUCATORS HALF-TIME OR LESS|3180|T|537533
176714|2101|EDUCATIONAL SUPPORT PERSONNEL|13382|T|537533
176715|2101|RETIRED|8791|T|537533
176716|2101|STUDENTS|991|T|537533
176717|2101|LIFE MEMBERS|887|T|537533
176718|2102|Agency Fee Payers|1550|F|537533
176719|2101|Active|762|T|537535
176720|2101|Associate|0|T|537535
176721|2102|Agency Fee Payers|98|F|537535
176722|2101|Member - Full Dues|900|T|537536
176723|2102|Agency Fee Payers|49|F|537536
176726|2101|REGULAR MEMBERS- FULL TIME|3094|T|537542
176727|2101|REGULAR MEMBERS- PART TIME|599|T|537542
176728|2102|Agency Fee Payers|50|F|537542
176729|2101|Maintenance|713|T|537562
176730|2101|Custodial|1851|T|537562
176731|2101|Other Services|2674|T|537562
176732|2101|Child Nutrition|2823|T|537562
176733|2101|Transportation|3336|T|537562
176734|2101|Secretarial/Clerical|3592|T|537562
176735|2101|Paraeducator|11415|T|537562
176736|2102|Agency Fee Payers|153|F|537562
176745|2101|Full-time and  Admin Members|384|T|537583
176746|2101|Half-time Membes|2|T|537583
176747|2101|Association Members|2|F|537583
176748|2101|FULL-TIME MEMBERS|539|T|537588
176749|2101|LIFE MEMBERS|1|T|537588
