OID|DESCRIPTION|AMOUNT|RPT_ID
81420|DEFERRED RENTAL INCOME|5591|535604
81421|PAYABLE TO IUOE EPEC VOLUNTARY PAC|708|535604
81422|PAYROLL WITHHOLDINGS LIABILITIES|583|535605
81423|Deferred Income|56848|535609
81424|Objectors Payable|1087|535609
81425|Accrued Severance Pay|2626834|535609
81426|Accrued Retirement Cost|47506477|535609
81427|Other Payroll Withholdings Payable|40714|535609
81428|Accrued Vacation Costs|543498|535609
81429|PAYROLL TAXES PAYABLE|2909|535610
81430|Accrued Salaries Payable|194553|535612
81431|Accrued Vacation & Sick Pay Payable|142338|535612
81432|Other Payables|13939|535612
81436|VACATION|3190|535615
81437|DUES|684|535615
81435|PAYROLL TAXES |3721|535615
81438|UA GRANT - LMCC|236225|535617
81439|NOTE PAYABLE TO ATTORNEYS|84360|535618
81440|Accrued Vacation|180323|535619
81441|Sick Time Liability|220565|535619
81442|Payroll Liability|94976|535619
81443|Pension Liability|5849|535619
81444|SUTA Payroll Taxes|78|535622
81445|FUTA Payroll Taxes|40|535622
81446|PAYROLL WITHHOLDING|16894|535626
81447|PER CAPITA PAYABLE|132253|535626
81448|Payroll Liabilities|5638|535629
81449|Payroll Withholdings|4150|535630
81450|Payroll Liabilities|3730|535631
81451|SECURITY DEPOSIT|3760|535632
81452|Capital Lease|12302|535633
81453|PAYROLL WIHTHOLDINGS PAYABLE|3401|535634
81454|RENT DEPOSITS|16000|535634
81455|ACCRUED SEVERANCE BENEFITS|26862|535635
81456|ACCRUED VACATION PAYABLE|53442|535635
81458|Due to Members for dues paid in advance|9704|535637
81459|Due to International Headquarters|8884|535637
81460|Due to Death Benefit Account|2390|535637
81461|Iowa State Withholding Payable|1992|535637
81462|Illinois State Withholding Payable|312|535637
81463|State Unemployment Payable|55|535637
81464|Pension Liabilites Payable|7449|535637
81465|Vacation Liability Payable|386|535637
81466|Assessment Liability Payable|660|535637
81467|Welfare Liability Payable|4909|535637
81468|United Way Deduction Payable|120|535637
81469|Accrued Salaries|61917|535638
81470|Accrued Leave|91311|535638
81471|Labor of Love Escrow|3960|535638
81472|Sales Tax Payable|73|535638
81473|Deferred Revenue|331355|535638
81474|Accrued Pension Contribution|2625|535641
81475|Rental Deposit Escrow|1500|535641
81476|Federal Withholding Payable|1212|535641
81477|MD Withholding Payable|579|535641
81478|CREDIT CARDS|7730|535643
81479|PAYROLL LIABILITIES|4459|535643
81480|Payroll Withholdings|909|535644
81481|UNION BENEFITS PAYABLE|20125|535645
81482|PAYROLL TAXES PAYABLE|874|535645
81483|ACCRUED EXPENSES|9010|535645
81484|MEMBER CREDIT BALANCE|10079|535645
81485|PAYROLL WITHHOLDINGS|1258|535649
81486|PAYROLL LIABILITIES|1403|535650
81487|RENT DEPOSIT|3000|535652
81488|SAVINGS ACCOUNT AGENTS|23010|535652
81489|PAYROLL WITHHOLDINGS|111|535652
81490|ACCRUED EXPENSES|40970|535653
81491|DEFERRED COMPENSATION|791567|535653
81492|Payroll taxes payable|974|535655
81493|Accrued Vacation Payable|6000|535655
81494|Accrued Payroll and Taxes|65959|535656
81495|Accrued Vacation|167505|535656
81496|Due to Affilated Entities|864710|535656
81497|ACCRUED VACATION|112650|535660
81498|DEFERRED LEASE OBLIGATION|20280|535660
81499|DEFERRED INCOME|7225|535660
81500|ACCRUED PAYROLL|46917|535660
81501|ACCRUED PENSION COST|19595|535660
81502|Accrued Annual Leave|418969|535661
81503|Deferred Revenue|462794|535661
81504|Due to AFT|130000|535661
81505|Payroll Withholding Payable|17733|535662
81506|Garnishment payable|23|535663
81507|Death Benefit Fund|9569|535663
81508|Sick and Distressed Fund|11238|535663
81509|Security Deposit & Miscellaneous|234|535666
81510|CREDIT CARD PAYABLE|1280|535667
81511|Payroll withholdings|5756|535671
81512|Accrued vacation|150000|535671
81513|Property Taxes Payable|6140|535672
81514|Per Capita Payable|8870|535672
81515|Payroll Liabilities|8399|535672
81518|Payroll Withholdings|3717|535676
81519|Payroll taxes withheld and payable|11777|535677
81520|PAYROLL TAXES WITHHELD NOT REMITTED AT YEAR END|143|535679
81521|Payroll and dues withholding|218|535680
81522|Death Benefits|5200|535683
81523|Employee benefits|4239|535684
81524|Other payroll liabilitites|128|535684
81525|Employee June Federal & 2nd Qtr NYS withholdings|256|535687
81526|Employer June Federal & 2nd Qtr NYS unemp  ins    |117|535687
81527|Int'l Dues Payable|45189|535690
81528|Benefits Payable|47474|535690
81529|A/P - International|19168|535693
81530|Due to Local 36 Annuity Fund|4359|535693
81531|INTERNATIONAL HEADQUARTERS PAYABLE|5795|535695
81532|WITHHELD PAYROLL TAXES|3118|535695
81533|Due to the Illinois Pipe Trades|15454|535696
81534|Exchange Payable|68572|535696
81535|Payroll Withholding Taxes|1884|535696
81536|Payroll Deductions and Withholdings|22675|535697
81537|Accrued Expenses|1078982|535701
81538|Due to locals (VA/direct members)|219980|535701
81539|Due to CNA/NNOC|710497|535701
81540|Accrued Compensation|4845067|535702
81541|Payroll withholdings|339|535708
81542|Insurance Reserve|1000000|535709
81543|Severance and Vacation Payable|9814648|535709
81544|Accrued Tuition Assistance|3832|535709
81545|Payroll Withholdings|106832|535709
81546|Occupational Liability Insurance|595705|535709
81547|Other Liabilities|421797|535709
81548|Accrued Post-Retirement Benefits|31196137|535709
81549|INTL DUES COLLECTED BUT UNREMITTED|16557|535713
81550|PAYROLL WITHHOLDING|2414|535713
81551|PAYROLL LIABILITIES|67458|535716
81552|DEFERRED COMPENSATION LIABILITY|6411650|535716
81553|VACATION ACCRUAL|716146|535716
81554|Due to related parties|30700|535719
81555|VISA CREDIT CARD CHARGE FOR RONALD LINEBERGER|1018|535725
81556|PAYROLL LIABILITIES|1074|535725
81557|Payroll Withholdings|6668|535726
81558|Payroll Liabilities|2004|535730
81559|Payroll Deductions and Related Accruals|1344|535733
81560|PAYROLL LIABILITIES|1174|535735
81561|TENANT SECURITY DEPOSITS|5486|535735
81562|UNEARNED RENT|2824|535735
81565|Federal Income Tax Withholding|7881|535741
81566|Unemployment Taxes Accrued|3531|535741
81567|State Income Tax Withholding|7324|535741
81568|Fringe Benefits Withholding|20412|535741
81569|Administrative Staff Withholding|60|535741
81570|PAYROLL LIABILITES|523|535743
81571|PAYROLL LIABILITIES|2748|535744
81572|ACCRUED SALARIES|29746|535745
81573|ACCRUED VACATION|140198|535745
81574|ACCRUED SEVERANCE|129755|535745
81575|ACCRUED POST RETIREMENT BENEFITS|395774|535745
81576|DEFERRED REVENUE|32804|535745
81577|DEFERRED GAIN|4307|535745
81579|CS/SS|208|535749
81582|TSP fees|1600|535749
81578|CORLCA union dues|283|535749
81580|Employee Health Insurance|647|535749
81581|NRLCA dues|241|535749
81583|Escrow Monies - Defunct Locals|183357|535757
81584|Escrow Monies - Held in Safekeeping|126801|535757
81585|Printing Expenses to be Paid|20000|535757
81586|Accrued funeral benefits for life members|5807950|535772
81587|Payroll withholdings |9597|535772
81588|Fairshare escrow liability|15401|535772
81589|Overpayments from local unions|107880|535772
81590|FEDERAL PAYROLL TAXES|3550|535774
81591|STATE UNEMPLOYMENT|262|535774
81592|STATE WITHHOLDING|250|535774
81593|STATE TAX WITHHELD|1581|535778
81594|VACATION FUND WITHHELD|1763|535778
81595|Payroll Witholdings|2701|535828
81596|PAYROLL TAXES WITHHELD|7144|535838
81597|DUE TO INTERNATIONAL OFFICE|23902|535839
81598|UNPROCESSED DUES|1700|535839
81599|PAYROLL LIABILITIES|4207|535842
81600|ACRRUED PROPERTY TAXES|801|535842
81601|Death Claim Payable|10800|535846
81602|Due to PAC|1543|535846
81603|Dues collected in advance|17897|535846
81604|Over/Under Dues payments|641|535846
81605|Due to affiliate|0|535846
81606|PENSION PAYABLE|8457|535847
81607|ACCRUED PAYROLL TAXES|14979|535847
81608|ACCRUED - OTHER|170|535847
81609|PAYROLL TAXES WITHHELD|3477|535849
81610|OFFICERS SEVERANCE BENEFIT|4500|535849
81611|United Professions of Vermont - Sick and Vacation|37340|535852
81612|United Professions of Vermont - A/P Pension|1632|535852
81613|Mill River -Deferred Revenue|2910|535852
81614|United Professions of Vermont - Accrued Expenses|3927|535852
81615|ACCRUED PAYROLL TAXES AND PAYROLL TAES WITHHELD|2534|535857
81616|UNEARNED DUES AND ASSESSMENTS|18878|535857
81617|Banquet Deposits|36105|535858
81618|Liquor Tax Payable|2233|535858
81619|Sales Tax Payable|4012|535858
81620|Benefits Payable|80143|535858
81621|A/P - International|38258|535858
81622|Due to Affiliated Funds|61302|535858
81623|WITHHELD PAYROLL TAXES|8188|535863
81624|PAYROLL LIABILITIES|4543|535868
81625|PAYROLL TAX LIABILITIES|3212|535880
81627|Payroll Tax Payable|4240|535905
81626|Per Capita Payable|9079|535905
81628|PER CAPITA DUE TO INTERNATIONAL|7446|535915
81629|PAYROLL TAXES PAYABLE|379|535915
81630|Payroll taxes and withholdings payable|4157|535918
81631|WITHHELD OTHERS|16646|535935
81632|ACCRUED PAYROLL|666|535935
81633|SECURITY DEPOSITS|3185|535935
81634|ISSUES COMMITTEE PAYABLE|96685|535935
81635|TELECOM LEASING INC|44571|535935
81636|UNION BENEFITS PAYABLE|50412|535936
81637|DUES CHECK-OFF PAYABLE|17948|535936
81638|DUE TO AFFILIATED FUND|840|535938
81639|PAYROLL TAXES PAYABLE|28|535938
81640|EMPLOYEE BENEFITS PAYABLE|10985|535938
81641|PAYROLL TAXES|7681|535940
81642|Payroll Taxes Payable|1516|535946
81643|SEIU PAST SERVICE BUYBACK PAYABLE|687424|535947
81644|STAFF RETIREE HEALTH INSURANCE FUND PAYABLE|515851|535947
81645|UNUSED VACATION/SICK LEAVE RESERVE|365718|535947
81646|ACCRUED COUNCIL/CHAPTER REBATES|276112|535947
81647|ACCRUED PAYROLL/TAXES AT CLOSE OF FY|93483|535947
81648|MISC. ACCRUED/EXCHANGE|75606|535947
81649|STAFF PENSION PMTS PAYABLE|33867|535947
81650|Payroll Withholdings|1653|535955
81651|Payroll Deductions Payable|2224|535957
81653|State Chapter Dues Withheld|2440641|535964
81654|Accrued Salaries & Payroll Withholdings|674928|535964
81655|Deferred Compensation Liability|972357|535964
81656|Post Retirement Benefits|948000|535964
81657|Annual Sick and Vacation Leave|1081470|535964
81658|Deferred Dues|135325|535964
81659|PAYROLL TAX LIABILITIES|5056|535966
81660|DEATH BENEFIT PAYABLE|2241|535966
81661|DUE TO RELATED PARTY|13423|535966
81667|Accrued payroll taxes|4556|535970
81668|Accrued payroll withholding|2808|535970
81669|ACCRUED PAYROLL TAXES|6545|535974
81670|VACATION WITHHELD|3452|535974
81671|DUE TO APPRENTICESHIP TRAINING TRUST|614|535974
81672|Security Deposits|600|535975
81673|Payroll Taxes Payable|3904|535975
81674|Payroll withholdings and taxes payable|1210|535977
81675|Interfund Payable - General Fund|109|535977
81676|RENTAL DEPOSIT|9000|535979
81677|PAYROLL TAXES|5324|535979
81678|ACCOUNT PAYABLE|9700|535979
81679|INTEREST PAYABLE|3572|535979
81680|Deferred Revenue|49542|535983
81681|Sales Tax Payable|4739|535983
81682|Payroll Taxes Payable|1336|535983
81683|Security deposit|3000|535990
81684|Accrued payroll|9105|535990
81685|Payroll tax liability|3131|535990
81686|PAYROLL TAXES PAYABLE|2491|535993
81687|Accrued and withheld payroll taxes|1020|535995
81688|Payroll and Other Withholdings|5446|535996
81689|Payroll Taxes and Withholding Payable|4880|536000
81690|PAYROLL WITHHOLDINGS|497|536003
81691|VACATION CONTRIBUTION PAYABLE|78216|536003
81692|PAYROLL LIABILITIES|66|536005
81693|DUE TO CARVILLE APTS|72630|536005
81694|Accrued Vacation|148401|536008
81695|Accrued Sick Pay|83218|536008
81696|Deferred Grant Income|505|536008
81700|Payroll Taxes Payable|1690|536521
81703|TAG|481100|536549
81702|impounded funds|241707|536549
81704|Dues Collected for Others to be Remitted|184867|536576
81705|Accrued Payroll|167077|536576
81706|Accrued expenses|500|536606
81707|Payroll taxes payable|982|536606
81708|DUES PAYABLE TO LOCALS|37708|536608
81709|PAYABLE ON BEHALF OF MEMBERS|17563|536608
81710|BANKRUPTCY PROCEEDS PAYABLE TO MEMBERS|537649|536608
81711|PAYROLL TAXES WITHHELD|3114|536609
81712|COLLECTED FROM MEMBERS DESIGNATED ON THEIR BEHALF|1500|536609
81713|VACATION FUND FOR MEMBERS|3697|536609
81714|Deferred Revenue - Member Prepaid Dues|38100|536610
81715|PAYROLL LIABILITIES|6|536612
81725|Due to 1964 ILA Staff Pension Plan|2564|536618
81727|PAYROLL TAXES WITHHELD|1218|536628
81728|Payroll taxes payable|126|536629
81729|Employee benefits|24651|536629
81730|Payroll Taxes and Other Withholdings|62629|536632
81731|ACCRUED PAYROLL, PAYROLL TAXES, AND WITHHOLDINGS|51561|536634
81732|PENSION PAYABLE|75436|536634
81733|FICA/FIT WITHHOLDING|534|536636
81734|SUTA/FUTA LIABILITY|136|536636
81735|None|0|536651
81736|PAYROLL TAXES WITHHELD|7008|536656
81737|401K CONTRIBUTIONS WITHHELD|4130|536656
81738|PEF WITHHELD|909|536656
81739|UNITED WAY WITHHELD|76|536656
81740|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END |10760|536662
81741|Payroll Liabilities|6174|536666
81742|American Express |44349|536666
81743|Other Liabilities|7359|536666
81744|TENANTS' SECURITY DEPOSITS|9698|536686
81745|VACATION & SICK PAYABLE|154686|536686
81746|SEVERANCE PAYABLE|154975|536686
81747|Payroll Taxes|17750|536726
81748|Payroll tax liabilities|1352|536731
81749|Benefit withholdings payable|11752|536731
81750|Union withholdings payable|6230|536731
81751|Social Security Withholding|218|536732
81752|Federal Tax Withholding|368|536732
81753|State Tax Withholding|146|536732
81755|PAYROLL TAXES PAYABLE|989|536749
81756|Payroll Withholding|1103|536751
81757|Accrued Payroll Taxes|1558|536753
81758|Balance Due International|993|536753
81759|Payroll liabilities withheld|11630|536755
81760|Other liabilities|4970|536755
81761|Unremitted Payroll Taxes|3014|536756
81762|Vacation Deduction Withheld|3250|536756
81763|Dues Withheld|1957|536756
81764|Per Capita Taxes Due|10281|536756
81765|Accrued payroll|19390|536757
81766|Accrued annual leave|37088|536757
81767|Accrued postretirement benefit|699640|536757
81768|Retirement Plan Withholding|3441|536778
81769|Religious Exemptions Withholding|2498|536778
81770|Accrued Vacations|205504|536778
81771|Payroll taxes|3464|536795
81772|PAYROLL LIABILITIES|673|536804
81773|None|0|536822
81774|International office per capita|9027|536823
81775|PAYROLL LIABILITIES|2508|536824
81776|BENEFITS PAYABLE|12252|536824
81804|ACCRUED SEVERANCE BENEFIT LIABILITY|370017|536913
81805|PAYROLL TAXES AND WITHHOLDINGS PAYABLE|6870|536913
81806|Deferred Revenue|107764|536951
81807|Admin. rebate due to locals|92077|536951
81808|Deferred Compensation Account|110102|536977
81809|PIPE withholding payable|18709|536992
81810|Accrued Vacation|46084|536992
81811|Accrued Retirement|20391|536992
81812|PATROLL TAX WITHHOLDINGS|824|536998
81813|PAYROLL|6443|537028
81814|YEAR-END VENDOR PAYABLES|78148|537031
81815|ACCRUED SICK LEAVE / PERSONAL LEAVE|160754|537031
81816|ACCRUED VACATION|69699|537031
81817|RETIRMENT PLAN CLEARING|6272|537031
81819|District Rebates Payable|67903|537049
81820|Local Dues Payable|56912|537049
81821|Per Capita Tax Payable|141679|537049
81822|Accrued Expenses|630231|537049
81823|Accrued Severance|235779|537049
81824|Accrued Pension|599458|537049
81825|Capital Lease Obligations|121775|537049
81826|DEPARTMENT OF TREASURY - PAYROLL LIABILITIES|2722|537051
81827|ACCRUED PAYROLL TAXES|2454|537072
81829|Payroll Taxes|712|537093
81830|Accrued Payroll|661|537093
81831|PAYROLL WITHHOLDINGS|5218|537145
81832|DUE TO AFFILIATES|1785|537145
81833|Accrued Withholding Payable|4394|537161
81834|n/a|0|537197
81835|Payroll Taxes|1700|537198
81836|Accrued Per Capita|41997|537198
81837|Accrued Pension|11531|537198
81838|Payroll taxes and withhodlings|7065|537200
81839|DUE TO UNAC/UHCP|15964|537207
81843|Payroll taxes payable|3770|537253
81844|Pension fund pyable|6242|537253
81845|Per Capita Tax payable|3604|537253
81846|Health & welfare payable|2937|537253
81847|Accrued salaries|3184|537253
81848|Credi cards payable|1054|537253
81849|Legal fees payable|23525|537253
81850|PAYROLL TAXES AND OTHER|12790|537261
81851|PER CAPITA TAXES PAYABLE|21458|537288
81852|STATE TAX WITHHELD - CA|1095|537344
81853|STATE DISABILITY INS. WITHHELD|156|537344
81854|ACCOUNTS PAYABLE|1615|537344
81855|Payroll Liabilities|1581|537350
81856|Credit Cards|528|537350
81857|Accrued Leave and Post Retirement Benefits|14229844|537366
81858|Cooperative Funds|903679|537366
81859|Payroll Taxes|865|537387
81860|Organizing Grant|761|537387
81861|Vacation on behalf of members|34664|537414
81864|DUE TO UNAC/UHCP|13322|537429
81865|DUE TO UNAC/UHCP|31656|537430
81866|PAYROLL TAX LIABILITIES|2048|537432
81867|Accrued Vacation/Sick time|153612|537456
81868|Accrued Payroll and related taxes|8867|537456
81869|DUES REC'D IN ADVANCE|6460|537462
81870|PAYROLL TAXES WITHHELD AND ACCRUED|178|537462
81871|RENT REC'D IN ADVANCE|1200|537462
81872|Fundraising Payable|25|537464
81873|ACCRUED PAYROLL|282035|537465
81874|ACCRUED VACATION|606723|537465
81875|ACCRUED SICK PAY|475809|537465
81876|ACCRUED SEVERANCE PAY|543195|537465
81877|ACCRUED POST RETIREMENT HEALTH BENEFITS|851528|537465
81878|DONATED SICK LEAVE|5030|537465
81879|N/A|0|537470
81880|Deferred Compensation|1471062|537471
81881|Unremitted NEA and AFT Dues|708489|537471
81882|Deferred Membership Dues & Other Revenue|2788107|537471
81883|Accrued Salaries and Payroll Withholdings|118987|537471
81884|Accrued Leave|7652860|537471
81885|Accrued Pension Expense|31009031|537471
81886|Accrued Postretirement Expense|15655058|537471
81887|Accrued Membership Dues Rebates|791800|537471
81888|Other Accrued Expenses & Liabilities|89288|537471
81889|DUE TO AFFILIATED LOCALS|2115|537512
81890|DUE TO AFFILIATED LOCALS - AA BANKRUPTCY REIMBURSE|613250|537512
81891|PAYROLL TAXES PAYABLE|8597|537512
81892|SECURITY DEPOSIT PAYABLE|23567|537512
81893|ACCRUED PERSONNEL COSTS|14481|537531
81894|DEFERRED INCOME|215309|537531
81895|RESERVE FOR MEDICAL CLAIMS|778500|537531
81896|DEFERRED RENTAL INCOME|1370457|537531
81897|DEFERRED COMPENSATION - 457b|1433134|537531
81898|PSA EDUCATION LEAVE|10021|537531
81899|LSA EDUCATION LEAVE|161961|537531
81900|VACATION AND SICK ACCRUAL|11212087|537531
81901|RETIREE MEDICAL ACCRUAL|117057300|537531
81902|ACCRUED PENSIONS|188365346|537531
81903|SECURITY DEPOSITS|38634|537531
81904|VACATION AND SEVERANCE ACCRUAL|4537395|537533
81905|OTHER ACCRUED LIAB|1503672|537533
81906|HRA|56500|537533
81907|DEFERRED COMPENSATION RETIREMENT 457B|276894|537533
81908|FAS 106 POST RETIREMENT|15156347|537533
81909|POST 65 RETIREMENT HEALTH BENEFITS|29687613|537533
81910|DB PENSION|14512249|537533
81911|Withholding Taxes|1443|537536
81912|PAYROLL WITHHOLDINGS PAYABLE|2080|537542
81913|Wages and payroll taxes payable|137530|537562
81914|Pension contributions payable|61976|537562
81915|Accrued leave time|596871|537562
81916|Interest rate swap|121000|537562
81930|EMPLOYEE DEDUCTS PAYABLE|1777|537589
81931|DEFERRED REVENUE|35307|537589
81932|Deferred Dues|48247|537598
81933|Payroll Liabilities|25873|537598
81934|Member Insurance Reserve|448740|537598
81935|Accrued Severence Pay|5851089|537599
81936|Accrued Annual Leave|6389854|537599
81937|Amount Held for Affiliates|904927|537599
81938|Deferred Income - NEA Retired|14156086|537599
81939|Grant Commitments|700000|537599
81940|Amount Due to Other Funds|4000000|537599
81941|Payroll Taxes Payble|474|537600
81942|Deferred Income - Prepaid dues|8531|537601
81943|Accrued compensated absences|11840|537601
81944|Deferred Income - Rent|950|537601
81945|Accrued expenses|661702|537604
81946|457f Deferred compensation payable|187766|537604
81947|Deferred grants revenue|75719|537604
81948|Payroll Taxes|3193|537608
81949|STATE TAX WITHHELD|898|537612
81950|Payroll liabilities|1859|537617
81951|Payroll withholdings|51682|537622
81952|Due to broker|6072|537622
81957|Retiree Health|91416425|537656
81953|Accrued leave|3462317|537656
81954|Deferred compensation|428325|537656
81955|Payroll related|120265|537656
81956|Retirement|74005633|537656
81958|Deferred revenue|174001|537656
81959|Membership|8262806|537656
81960|Capital leases|675490|537656
81961|Affiliate payables|1740504|537656
81962|Accrued sick and vacation time|173381|537684
81963|Deposits held for health insurance payments|40023|537684
81964|Deposits held for transmittal to Retiree Defense F|6010|537684
81965|Prepaid dues|105714|537684
81966|Deferred income from grantor|228113|537684
81967|Post-retirement benefit obligation|3365257|537684
81968|ACCRUED TIME OFF|137364|537694
81969|Deferred Revenue|59511|537701
81974|Payroll Taxes Payable|468|537722
81975|PAYROLL LIABLITIES|7792|537723
81976|Security Deposit|1000|537757
81977|Payroll Tax Liabilities|1559|537757
81978|PAYROLL LIABILITIES|2709|537790
81979|Payroll Taxes and Other Withholdings|1895|537807
81980|Payroll withholding payables|109|537812
81981|Payroll taxes|1205|537824
81983|PAYROLL WITHHOLDINGS|3590|537836
81984|Payroll withholdings payable|1400|537850
81985|PAYROLL LIABILITIES|5649|537851
81986|PAYROLL WITHHOLDINGS|2681|537853
81987|PAYROLL LIABILITIES|8146|537873
81988|PAYROLL WITHHOLDINGS|1647|537874
81989|SEVERANCE RESERVE|104792|537883
81990|Accrued Payroll Taxes|583|537884
81991|Accrued Payroll|3533|537884
81992|Accrued Dues|10274|537884
81993|Accrued Property Taxes                    |411|537884
81994|Deferred Revenue|600|537884
81995|Accrued Compensated Absences|1605|537884
81996|PAYROLL LIABILITIES|1010|537885
81997|RENT SECURITY|1900|537907
81998|Accrued Taxes Payable|461|537908
81999|DUE TO MEMBERS|1044825|537922
82000|ACCRUED PAYROLL TAXES|2366|537985
82001|LOST TIME PAYABLE|2036|537985
82002|OTHER ACCRUED EXPENSES|2730|537985
82003|Accrued Salaries|19194|537986
82004|Payroll Liabilities|4423|537986
82005|Exchange Accounts Due Affiliates|98275|537986
82006|PAYROLL WITHHOLDINGS PAYABLE|266|537987
82008|PAYROLL TAXES AND WITHHOLDINGS PAYABLE|2973|537995
82009|Payroll Taxes Payable|676|538006
82010|PAYROLL WITHHOLDING PAYABLE|59|538008
82011|Unremitted Payroll Taxes Withheld and Accrued|956|538021
82012|Accrued Leave|46519|538028
82013|SECURITY DEPOSIT LIABILITY|3115|538039
82014|PAYROLL LIABILITIES|12235|538039
82015|DUE TO CONTRACTORS|11296|538039
82016|DUE TO LOCALS|441296|538039
82017|DUE TO SIX FLAGS/SILVER DOLLAR|1796|538039
82018|Accrued Expenses|411020|538041
82019|Deferred Compensation|21945|538041
82020|Pension Plan Payable|175384|538041
82021|Interest Payable|759882|538041
82022|Association Dues Payable|38651|538041
82023|Payroll Liabilities|1475|538041
82024|Post Retirement Benefits Payable|1627288|538041
82025|Due to ELI|161760|538041
82026|Payroll Taxes Payable|3221|538042
82027|Accrued Payroll|14919|538042
82028|Georgia Withholding Tax|408|538054
82029|Georgia Unemployment Tax|148|538054
82030|Federal Unemployment  Tax|6|538054
82035|ACCRUED LEAVE|63356|538082
82036|PAYROLL LIABILITIES|7333|538082
82037|ACCRUED SALARIES|36881|538082
82038|ACCRUED STATE TAXES|1135|538082
82039|ACCRUED RETIREMENT OBLIGATION|2641034|538082
82040|PAYROLL TAXES|4125|538083
82041|CHASE CREIDT CARD|1218|538083
82042|PAYROLL LIABILITIES|3956|538088
82043|Payroll taxes withheld and liabilities|2548|538122
82044|PAYROLL LIABILITIES|694|538134
82045|DUE TO MEMBERS|1167000|538141
82046|Accrued Payroll Liabilities|3475|538168
82047|Per Capita Payable|116176|538179
82048|Due to Affiliates|3126|538179
82049|1% International Assessment Payable|10632|538184
82050|PAYROLL LIABILITIES|1029|538185
82051|PAYROLL WITHHOLDINGS|2825|538191
82052|ACCRUED EXPENSES|165841|538192
82053|PAYROLL WITHHOLDINGS|1096|538194
82054|Accrued severence|88357|538214
82055|Accrued vacation|11578|538214
82056|Accrued salaries|2196|538214
82057|Premium advances - Typos|7662|538214
82058|Accrued Payroll|4744|538216
82059|Accrued Vacation|8794|538216
82060|Dues Payable|1713|538216
82061|Union Leave payable|4104|538216
82062|Long Term Note to NBC|43750|538216
82063|Duplicate international dues rebate|33189|538217
82064|SEVERANCE PAY RESERVE|232570|538223
82065|PAYROLL AND TAX WITHHOLDINGS|3427|538224
82066|DEFERRED REVENUE|11010|538224
82067|Rent Deposits|1000|538225
82068|FICA tax withholding|2889|538232
82069|State tax withholding|466|538232
82070|Federal UC taxes|222|538232
82071|State UC taxes|40|538232
82072|Payroll withholdings and taxes|1415|538252
82073|ACCRUED SALARIES, PAYROLL TAXES & WITHHOLDINGS|2759|538256
82074|STATE WITHHOLDING TAX|508|538257
82075|CITY WITHHOLDING TAX|382|538257
82076|401 (k) WITHHOLDING|2234|538257
82077|UNITED LABOR BANK - CREDIT CARD PAYABLE|1140|538258
82078|PAYROLL WITHHOLDING PAYABLE|1843|538258
82079|PAYROLL WITHHOLDING PAYABLE|1399|538260
82080|SUN DRAWING PAYABLE|403|538260
82081|PAYROLL WITHHOLDINGS PAYABLE|2416|538263
82082|FICA Tax Withheld|1571|538266
82083|State Tax Withheld|1342|538266
82084|Local Tax Withheld|422|538266
82085|Unemployment Tax Withheld|199|538266
82086|Payroll Taxes Payable|411|538267
82087|PAYROLL LIABILITIES|429|538269
82088|PAYROLL TAXES WITHHELD|2191|538273
82089|ACCRUED PAYROLL TAXES|981|538273
82090|ACCRUED SALARIES|2060|538273
82093|SHORTFALL REFUND |11935|538277
82094|PAYROLL LIABILITIES|2063|538279
82095|PAYROLL WITHOLDINGS|4139|538281
82096|Accrued payroll and Liabilities|1872|538292
82097|Credit Card Liabilities|1904|538292
82098|Payroll Liabilities|1081|538294
82099|PAYROLL TAX WITHHOLDINGS|3424|538295
82100|ACCRUED PAYROLL TAXES|7317|538297
82101|ACCRUED PROPERTY TAXES|11307|538297
82102|OTHER PAYROLL WITHHOLDINGS|6952|538297
82103|ACCRUED MEMBERS A D & D INSURANCE|475|538297
82104|ACCRUED SALARIES AND WAGES|95652|538297
82105|UNDERFUNDED PENSION OBLIGATION|148727|538297
82106|Accrued Expenses|8702|538300
82107|Due to Related Party|206906|538300
82108|Per Capita - due to International|11996|538305
82109|Fringe Benefits|29761|538305
82110|Due to PAC funding|6010|538305
82111|Other|202|538305
82112|Vacation Contributions withheld|1258|538305
82113|CREDIT CARD PAYABLE|3148|538307
82114|PAYROLL WITHHOLDINGS PAYABLE|2190|538311
82115|VACATION PAYABLE|15611|538311
82116|PAYROLL TAXES AND BENEFITS WITHHELD|2535|538312
82118|PAYROLL WITHHOLDINGS|5214|538317
82119|Accrued Salary|41229|538319
82120|PAYROLL DEDUCTIONS PAYABLE|3142|538322
82121|SAN JOSE GUILD SEVERANCE TRUST|47242|538324
82122|WITHHELD TAXES|2682|538325
82123|Accrued payroll taxes|3917|538333
82124|PAYROLL TAX LIABILITY |2267|538334
82125|PAYROLL TAX WITHHOLDINGS|523|538335
82128|CWA NATIONAL DEFERRED REVENUE (DUPLICATE DEPOSIT)|4488|538346
82129|ACCRUED PAYROLL TAXES|1130|538346
82130|PER CAPITA DUES PAYABLE|9410696|538347
82131|EMPLOYEES' ACCUMULATED SICK AND VACATION|6909553|538347
82132|ACCRUED PENSION LIABILITY|19272709|538347
82133|POST RETIREMENT BENEFIT OBLIGATION|26612984|538347
82134|Salaries and Wages|202055|538348
82135|Payroll Taxes and other benefits|38536|538348
